registryid,siting_metric
['110038745169'],0.006136124335394263
['110067153190'],0.006131756454897981
['110038758430'],0.006129635620768904
['110070258717'],0.006124642994560336
['110056253691'],0.006120055715531105
['C3297'],0.006117356123434849
['110055129971'],0.006117085329442916
['C7242'],0.006116616488903626
['110039555816'],0.006111244323681789
['110042301513'],0.0061100801169033814
['110038758305'],0.00610799199802942
['110070034244'],0.006103788314647622
['110043692180'],0.006092169509184528
['110038744847'],0.006079667248145309
['110040211847'],0.006079667248145309
['110043240926'],0.006078252966510973
['110004566149'],0.006076790148063638
['C57937'],0.006063531742907048
['C2442'],0.006052249889942448
['110038755175'],0.006019051025722425
['110070789735'],0.006015925336841608
['110045012240'],0.0060118888857471145
['110038720916'],0.006010370819692612
['110070057657'],0.006009447124830318
['110067448738'],0.006001117078886092
['C1040'],0.006000953155717044
['110038742554'],0.005992503535245815
['110070205605'],0.005988482427262687
['110040403685'],0.005983048423867474
['110070629120'],0.005982529092917574
['110070385437'],0.005982529092917574
['C56808'],0.005970447409874642
['110039687942'],0.005966543294146692
['110071089521'],0.005957011987543135
['110035609106'],0.0059520665589766816
['110071090434'],0.0059382366300085926
['110070205635'],0.005935409991625443
['110044763716'],0.005931566062205665
['110067221303'],0.005925514148802556
['110070523665'],0.0059213475922106065
['110063210680'],0.005917321787845771
['110044760675'],0.0059023912666216405
['110070507836'],0.005895044748803717
['110060978740'],0.0058942404917266865
['110042111586'],0.005890701734783069
['110040129250'],0.005889985370633977
['110039552551'],0.0058867417393005635
['110038720729'],0.005884175367506374
['110039531183'],0.005877693495352108
['110070507890'],0.005869878063699848
['110039543946'],0.005866952626362355
['110055377257'],0.005866068503132287
['110038712729'],0.0058650888675726666
['110041720402'],0.00586502211178947
['110055492934'],0.005864936333938801
['C6190'],0.005863285568046154
['110070789779'],0.0058568233692112455
['110038732609'],0.005851181219679807
['110054626883'],0.0058490307137021875
['110070258826'],0.005847695372814581
['110070605044'],0.005832299795007631
['110059658491'],0.005831303939313244
['110063211037'],0.005831042499659449
['110054627668'],0.005824360196287303
['110070560343'],0.0058237590671541516
['110043454491'],0.005822768505481172
['110008247600'],0.005812418197981842
['110056254672'],0.005802335610702286
['110070525750'],0.0057981056061465605
['110039534670'],0.005797233746750635
['110070671374'],0.00579595935992019
['110038691136'],0.00579470775378923
['110038750250'],0.005791859162521571
['110038712756'],0.005788524821293039
['110043242997'],0.005783869089315161
['110038760347'],0.005783869089315161
['110039219100'],0.005771678704249755
['110040403337'],0.005771128373391804
['110039548326'],0.005762640530994668
['110038753275'],0.005751310011062153
['110070616059'],0.005748254236844729
['C7504'],0.005747682885392002
['110038741797'],0.005742839785934198
['110039219618'],0.005742028470145814
['110038763157'],0.005740788053149202
['110044214757'],0.005740236273025733
['110067152734'],0.0057360259436689785
['110040479014'],0.005734882575104192
['110040821787'],0.0057341490150454415
['110070004655'],0.005727233671087717
['110040710111'],0.005725065012227024
['110070004553'],0.00572408349300145
['110054146269'],0.005722616558211043
['110070261913'],0.005720564671001791
['110025144476'],0.00571990638247346
['110008205833'],0.00571862431856302
['110059720823'],0.005712967785207524
['110021998506'],0.005710392759611073
['110038764101'],0.005705818903452819
['110038716146'],0.0057013287920973
['110070225964'],0.005697571248534104
['110038756192'],0.005690154746077708
['110039541323'],0.005684962008623281
['110038712747'],0.005683994060429847
['110070149219'],0.0056827921352191405
['110070789614'],0.005681132745150478
['110070209645'],0.00567994016519952
['C10849'],0.00567789380788043
['110001521425'],0.005675333104074877
['110071090836'],0.005671366173546026
['110040721582'],0.005663790539383597
['110070671492'],0.005663666255288771
['110040478934'],0.005663145228622069
['110060855695'],0.005662415954134706
['110063008935'],0.005659424927593554
['110054145073'],0.0056530579277595805
['110070556301'],0.005645962583912574
['110010595203'],0.0056455788366034385
['110038698497'],0.005644923941356229
['C10143'],0.005644733396210624
['110038764183'],0.005643030413229604
['110070525586'],0.005642288086961861
['110070100694'],0.005641921306123694
['110070258764'],0.005637430911252093
['110003424198'],0.005636731630172426
['110007989720'],0.005636607344132886
['110040207709'],0.0056361234362648826
['110038747363'],0.005619290001838062
['110038753391'],0.005612733893144062
['110042301229'],0.0056113793639452824
['110056253888'],0.005611361898490892
['110063699047'],0.005601822598740036
['110070068530'],0.005599676733298278
['110038759723'],0.005599048811884989
['110070057769'],0.005595991041354697
['110060979044'],0.005593564916293246
['110016709436'],0.005590588874813269
['110042241277'],0.005586506805487821
['110043242871'],0.005583904794851367
['110043425825'],0.005579828914512999
['110044763100'],0.005579651392347114
['110015330104'],0.005576952374749923
['110043454945'],0.005576068767281431
['110069992148'],0.0055686487626668505
['110038744712'],0.0055679462829608525
['110070789427'],0.0055645260482771524
['110069992164'],0.00555927317803007
['110063011253'],0.005558443213537903
['110071089583'],0.00555721427963954
['110070081563'],0.005556584213377641
['110070149300'],0.005555573333478492
['110038744614'],0.005553941021292063
['110056254814'],0.005553140971057852
['110070790118'],0.005549708078224757
['110070560335'],0.005548776495445724
['110039539390'],0.005548395299797365
['110038757422'],0.005548214828051525
